journalname,journalabbreviation,journalurl,year,issn,volume,issue,articletitle,doiurl,author,author_affiliation,abstractbody,keywords,fulltext,fulltexturl,publisheddate,conflictofinterests,otherurl,articleurl,pubmedid,pmcid,sponsors,manualid,country,chemicalcode,meshdescriptioncode,meshqualifiercode,medlinepgn,language,nlmuniqueid,datecompleted,daterevised,medlinedate,studytype,isboolean,nativetitle,nativeabstract,citations,reference,disclosure,acknowledgements,supplement_url
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-1,17-1,Influence of agricultural extension services on technical efficiency of maize farmers in Malawi,,Aubrey Jolex,,"Recognising potential selection bias due to non-randomness of the data, this study used propensity score matching on data from a nationally representative fifth Integrated Household Survey (IHS5) to investigate the effect of agriculture extension services on the technical efficiency of maize farmers in Malawi. Technical efficiency levels were estimated using the stochastic frontier model. The results show that most farmers are technically efficient, with an average technical efficiency of 63%. This indicates that there is still a possibility to increase maize output by 37% using the same level of inputs. The results of the propensity score matching reveal that having access to agricultural extension services significantly increases maize farmers’ technical efficiency, by about 4%. This evidence presents an opportunity not only for farmers, but also for the relevant policymakers, to realise the potential of using agricultural extension services to enhance the production capacity of maize farmers.",,,https://afjare.org/wp-content/uploads/2023/03/6.-Jolex.pdf,"March 1, 2022",,,https://afjare.org/influence-of-agricultural-extension-services-on-technical-efficiency-of-maize-farmers-in-malawi/,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-1,17-1,Asymmetry and transmission of international price shocks of cocoa and coffee in Togo,,Koffi Yovo & Kokou Edoh Adabe,,"This study assesses the mechanism of the transmission of international price shocks to producer prices of coffee and cocoa in Togo. A threshold autoregressive (TAR) model was estimated using monthly series of international and producer prices of coffee and cocoa in Togo from 1994 to 2018. The results show that there is asymmetric transmission of international price shocks to producer prices. Domestic prices respond less quickly to international price increase than decreases. The asymmetric price transmission is similar in term of the speed of adjustment for the two commodities. In order to deal with this phenomenon, further investigations need to be done to detect the reasons for the asymmetry in price transmission between domestic and international coffee and cocoa markets.",,,https://afjare.org/wp-content/uploads/2023/03/5.-Yovo-Adabe.pdf,"March 1, 2022",,,https://afjare.org/asymmetry-and-transmission-of-international-price-shocks-of-cocoa-and-coffee-in-togo/,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-1,17-1,"Stakeholders’ perspectives on the use of black soldier fly larvae as an alternative sustainable feed ingredient in aquaculture, Kenya",,Kevin Okoth Ouko; Adrian Wekulo Mukhebi; Kevin Odhiambo Obiero; Florence Achieng Opondo; Charles Adino Ngo’ng’a; & Dennis Ouma Ongor,,"The use of novel feed ingredients from aquaculture is growing globally. However, their contributions to scalable and sustainable aquafeed solutions are unclear. New ingredients for feeds are desired in the framework of sustainability and a circular economy; thus, initiatives for implementing such novel ingredients are of interest to agricultural practitioners. As research continues on the potential contribution of insect-based feeds in aquaculture in Kenya, understanding stakeholders’ perspectives about the use of black soldier fly larvae (BSFL) meal is critically important. Given that no such studies have been conducted in Kenya, the overarching goal was to quantify stakeholder perspectives on the use of BSFL meal in aquaculture. Specifically, the objectives of the study were to 1) determine stakeholders’ perceived benefits and perceived risks regarding the use of BSFL meal in aquaculture;",,,https://afjare.org/wp-content/uploads/2023/03/4.-Ouko-et-al.pdf,"March 1, 2022",,,https://afjare.org/stakeholders-perspectives-on-the-use-of-black-soldier-fly-larvae-as-an-alternative-sustainable-feed-ingredient-in-aquaculture-kenya/,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-1,17-1,Opportunity cost of adopting improved planted forage: Evidence from the adoption of Brachiaria grass among smallholder dairy farmers in Kenya,,Kevin W. Maina; Cecilia N. Ritho; Ben A. Lukuyu; & Elizaphan James O. Rao,,"Current global trends in population growth, urbanisation and a growing middle-class economy have resulted in increased demand for livestock and products, and more so dairy products. This necessitates the need for livestock producers to respond to the growing demand. However, farmers’ efforts are aggravated by the effects of climate change. The need arises for a sustainable source of fodder to alleviate the situation, while at the same time offering farmers other opportunities to participate in fodder markets through the adoption of climate-smart Brachiaria grass. In this article, the opportunity cost of producing Brachiaria in favour of Napier grass is estimated using household survey data obtained from dairy farmers in Kenya’s drier agro-ecological zones. The study utilised full-information endogenous switching regression to compute the opportunity cost by comparing the",,,https://afjare.org/wp-content/uploads/2023/03/3.-Maina-et-al.pdf,"March 1, 2022",,,https://afjare.org/opportunity-cost-of-adopting-improved-planted-forage-evidencefrom-the-adoption-of-brachiaria-grass-among-smallholder-dairyfarmers-in-kenya/,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-1,17-1,"Understanding consumer attitudes to and valuation of organic food in Sub-Saharan Africa: A double-bound contingent method applied in Dakar, Senegal",,Abdoulaye Seck; & Djiby Racine Thiam,,Although organic farming is increasingly perceived as a viable alternative to conventional,,,https://afjare.org/wp-content/uploads/2023/03/2.-Seck-Thiam.pdf,"March 1, 2022",,,https://afjare.org/understanding-consumer-attitudes-to-and-valuation-of-organic-foodin-sub-saharan-africa-a-double-bound-contingent-method-appliedin-dakar-senegal/,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-1,17-1,Trade liberalisation in Kenya: A modelling linkage for wheat and maize,,Authors: Julian Binfield; Pierre Boulanger; Tracy Davids; Hasan Dudu; Emanuele Ferrari; & Alfredo Mainar-Causapé,,"Kenya has become a driving force of trade integration at the regional and continental level, albeit this process is still incomplete. Kenya was the first nation, along with Ghana, to ratify the African Continental Free Trade Area (AfCFTA) agreement in May 2018, as it was already engaged with its main trading partners. Trade policy can generate mixed effects across the economy and within the agricultural sector, reflecting differences between markets and commodities. In this paper, we argue that a mix of modeling approaches is preferable to capture the complexities of these changes. A dynamic-recursive computable general equilibrium model provides broad sectoral and macroeconomic effects, which are then incorporated into a partial equilibrium framework for a",,,https://afjare.org/wp-content/uploads/2023/03/1.-Binfield-et-al.pdf,"March 1, 2022",,,https://afjare.org/trade-liberalisation-in-kenya-a-modelling-linkage-for-wheat-andmaize/,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-2,17-2,"Influence of proximity to and type of foraging habitat on value of insect pollination in the tropics, with applications to Kenya",,Richard Mulwa; Juha Siikamaki; Michael Ndwiga; & Jessica Alvsilver,,"Insect pollination improves the yield of most crop species and contributes to one-third of global crop production. The importance of this ecosystem service in improving agricultural production has largely been overlooked, however, in favour of practices that improve soil conditions such as fertiliser use and supplementary irrigation. Using economic modelling, this study estimates the value of insect pollination under different land-use types in Kenya. Our model assumes that a combination of land-use type and the foraging distance of insect pollinators influences the intensity of pollination and the value of agricultural output. To demonstrate the hypothesised relationships, areas under different land-use types, e. g. forest, grassland and cropland, and their distances from households were used as proxies for insect pollination. Concentric buffer zones representing foraging distances of pollinators from the land-use types were drawn at 250 m, 500 m, 1 000 m, 2 000 m and 3 000 m from the farms, and areas under each land use in the buffer zones were estimated for the years 2004, 2007 and 2010. Using the random-effects model and an output distance-function stochastic frontier model, the land-use areas, other factors of production and climate variables were regressed on the value of agricultural output in each buffer zone to determine their contribution to agricultural output resulting from insect pollination. The results indicate higher crop productivity on farms bordering forests and grasslands. This implies that insect pollinators are important for crop production, and increasing the number of pollinator habitats closer to the farms will increase food production in the tropics.",,,https://afjare.org/wp-content/uploads/2023/03/6.-Mulwa-et-al.pdf,"June 1, 2022",,,https://afjare.org/influence-of-proximity-to-and-type-of-foraging-habitat-on-value-of-insect-pollination-in-the-tropics-with-applications-to-kenya/,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-2,17-2,Influence of agricultural extension services on technical efficiency of maize farmers in Malawi,,Aubrey Jolex,,"Recognising potential selection bias due to non-randomness of the data, this study used propensity score matching on data from a nationally representative fifth Integrated Household Survey (IHS5) to investigate the effect of agriculture extension services on the technical efficiency of maize farmers in Malawi. Technical efficiency levels were estimated using the stochastic frontier model. The results show that most farmers are technically efficient, with an average technical efficiency of 63%. This indicates that there is still a possibility to increase maize output by 37% using the same level of inputs. The results of the propensity score matching reveal that having access to agricultural extension services significantly increases maize farmers’ technical efficiency, by about 4%. This evidence presents an opportunity not only for farmers, but also for the relevant policymakers to realise the potential of using agricultural extension services to enhance the production capacity of maize farmers.",,,https://afjare.org/wp-content/uploads/2023/03/6.-Jolex-1.pdf,"June 1, 2022",,,https://afjare.org/influence-of-agricultural-extension-services-on-technical-efficiency-of-maize-farmers-in-malawi-2/,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-2,17-2,Is cowpea a ‘women’s crop’ in Mali? Implications for value chain development,,Melinda Smale; Veronique Theriault; Andrea Allen; & Mamadou Sissoko,,"Cowpea, which is produced primarily in West Africa, is valued locally for its agronomic benefits in dryland farming, nutritional content, and contribution to the livelihoods of farming families. Many feel that more investment in cowpea research and development is needed for the crop to achieve its economic potential. Cowpea has long been labelled a ‘women’s crop’. We tested whether this is the case in Mali by exploring five indicators with a combination of primary and secondary databases, and interpreting our results in the context of the regional literature. We conclude that, in Mali, cowpea is better characterised as a ‘women’s enterprise’. Men are more likely than women to plant cowpea as either a primary or secondary crop and tend to plant larger areas, with cowpea intercropped. In drier agro-ecologies, women are more likely to grow cowpea than other crops. Although subsample sizes are very small, women cowpea growers appear to earn more on average from selling the harvest from their individual plots than do men. Women represent 99% of traders of",,,https://afjare.org/wp-content/uploads/2023/03/5.-Smale-et-al.pdf,"June 1, 2022",,,https://afjare.org/is-cowpea-a-womens-crop-in-mali-implications-for-value-chain-development/,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,,https://afjare.org/,2022,ISSN 2521-9871;ISSN 1993-3738,Volume 17-2,17-2,Loan syndication and cocoa production: Evidence from Ghana,,James Ntiamoah Doku; Raymond K. Dziwornu; Richard Agbanyo; & Joyce Owusuaa Awuletey,,"The syndication of loans is an innovative financing model that has emerged in the financial landscape to help lenders spread risk and share opportunities. This study examines the relationship between syndicated loans and cocoa production in Ghana, using annual time-series data spanning from 1993 to 2020, as well as the autoregressive distributed lag model (ARDL). The study found a positive and significant short-run and long-run relationship between syndicated loans and cocoa production. Specifically, a 1% increase in the amount of syndicated loans increases cocoa production by 0.25% in the long run. The Ghana Cocoa Board should ensure efficient utilisation of syndicated loans by investing in productivity-enhancing programmes to boost cocoa production.",,,https://afjare.org/wp-content/uploads/2023/03/4.-Doku-et-al.pdf,"June 1, 2022",,,https://afjare.org/loan-syndication-and-cocoa-production-evidence-from-ghana/,,,,,,,,,,,,,,,,,,,,,,,
