journalname,journalabbreviation,journalurl,year,issn,volume,issue,articletitle,doiurl,author,author_affiliation,abstractbody,keywords,fulltext,fulltexturl,publisheddate,conflictofinterests,otherurl,articleurl,pubmedid,pmcid,sponsors,manualid,country,chemicalcode,meshdescriptioncode,meshqualifiercode,medlinepgn,language,nlmuniqueid,datecompleted,daterevised,medlinedate,studytype,isboolean,nativetitle,nativeabstract,citations,reference,disclosure,acknowledgements,supplement_url
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,In Memory of Andrés Barbosa,https://doi.org/10.13157/arla.70.2.2023.im,Santiago Merino,,"Santiago Merino dedicates an emotional obituary to his colleague Andrés Barbosa. Both researchers worked together at the Department of Evolutionary Ecology of the National Museum of Natural Sciences (MNCN-CSIC), Madrid, Spain. Andrés Barbosa was professionally dedicated to ornithological research, focusing in recent years on penguins; he was assistant editor of Ardeola until 2011 and member of the Scientific Committee of SEO/BirdLife, among other relevant positions in the scientific field.",Andrés Barbosa; Santiago Merino; MNCN; CSIC; penguins; research,,https://www.ardeola.org/uploads/articles/docs/in-memoriam-andrés-barbosa-702_1678781166.pdf,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/141-150/,,,,,,,,,, English,,,,,,,,,,,,,
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,Temporal patterns of cooing activity of the European Turtle-dove Streptopelia turtur: optimising monitoring schemes based on abundance indices,https://doi.org/10.13157/arla.70.2.2023.ra1,Beatriz ARROYO; Lara MORENO-ZARATE; Mario FERNÁNDEZ-TIZÓN; Francesc SARDÀ-PALOMERA; Gerard BOTA; François MOUGEOT,,"Surveys based on abundance indices may still be the most cost-efficient method for monitoring programmes that aim to be extensive in time or space, but it is important to take into account differences in activity patterns when combining data collected at different times or from different areas. The European Turtle-dove Streptopelia turtur is a migratory game species that has declined in recent decades and for which identifying efficient and easy-to-apply monitoring schemes to assess changes in abundance is critical for adaptive management. We describe variation in cooing activity to help optimising Turtle Dove abundance monitoring schemes based on point-counts of cooing males. Cooing activity (number of minutes during a ten-minute sampling period when each Turtle Dove was cooing) declined markedly and linearly throughout the morning; in addition, it increased slightly from May to late June, and declined abruptly in the second half of July. The number of different turtle doves detected per ten-minute period significantly declined with time since dawn and was markedly lower after mid-July. Predicted abundance per observation point at dawn on 25 June (from a GLM per region including time and a quadratic relationship with date), correlated tightly (r = 0.95) with the average number of turtle doves detected at each point over multiple visits during the breeding season. Correlation of the latter with the number of birds observed in a single visit during the breeding period was weaker (0.68 ± 0.02). Estimated abundance per point was higher the longer the monitoring bout duration, but five-minute periods allowed detecting c. 80% of birds detected during ten-minute periods. To optimize Turtle Dove abundance monitoring schemes based on abundance indices, we suggest implementing fiveminute samplings from mid-May to mid-July during the first three hours after dawn, and transforming the observed values into predicted values considering the date and time at which surveys were made, to obtain comparable results across observation points and years.",actividad de canto; patrones diurnos; patrones estacionales; Streptopelia turtur,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-rp-2-arroyo-et-al_1678782405.pdf,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/151-168/,,,,,,,,,, English,,,,,,,,,,,,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-rp-2-arroyo-et-al_1678782405.pdf
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,No evidence of deliberate egg soiling in the Pied Avocet Recurvirostra avosetta to improve camouflage,https://doi.org/10.13157/arla.70.2.2023.ra2,"Cristina RAMO; Macarena CASTRO; Alejandro PÉREZ-HURTADO; Nuria MARTÍN; Miguel A. RENDÓN; , Juan A. AMAT; Gustavo LIÑÁN-CEMBRANO",,"Predation is one of the main causes of nest failure in birds. In order to overcome this, many species lay cryptic eggs, which enhances camouflage through either background matching or shape disruption, among other mechanisms. Despite this, ground-nesting birds still suffer high nest predation rates. One possibility to alleviate this could be to soil the eggs with particles of material surrounding nests, improving the camouflage. Indeed, it has been suggested that egg soiling is a mechanism of egg protection, but it remains to be demonstrated whether egg soiling is a strategy used by birds or is an unintentional by-product after incubating adults enter nests with dirty feet, legs and/or plumage. In this study, we analysed images from infra-red camera traps placed beside Pied Avocet Recurvirostra avosetta nests, in which we had previously cleaned dirty eggs and provided mud with which the adults might have soiled the eggs, and we found no evidence of deliberate egg soiling in this case. There was a slight improvement (not statistically significant) in the camouflage of soiled avocet eggs in comparison to clean eggs, but only in one of two studied nesting sites in which the eggs were more soiled. Although egg soiling may result in improved camouflage, future studies should address its potential costs to establish why it has not apparently evolved as a deliberate strategy to improve egg camouflage in nesting shorebirds.",crypsis; mud covering; shorebirds; texture analysis; visual modelling,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-rp-2_1680591483.pdf,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/169-184/,,,,,,,,,, English,,,,,,,,,,,,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-rp-2_1680591483.pdf
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,Long-term decoupling of a local population trend of the european pied flycatcher Ficedula hypoleuca from nest box abundance indicates the importance of old-growth forest,https://doi.org/10.13157/arla.70.2.2023.ra3,Stefan ABRAHAMCZYK; Jonatan GRIMM; Marvin FEHN; Darius STIELS,,"Most populations of the European Pied Flycatcher Ficedula hypoleuca are decreasing. Different reasons for the decline are discussed, including biotic interactions and climate change. It is evident that many studies have been conducted in populations depending completely on nest boxes, but the influence of this artificial support on population dynamics is not well understood. We investigated the population dynamics of the Pied Flycatcher in the Kottenforst, an old-growth forest in western Germany, using recent data as well as historical records. We also determined the proportion of pairs breeding in nest boxes vs. natural nesting places. Specifically, we quantitatively analysed forest structure around tree holes occupied by the pied flycatcher. We found a continuous increase in population size since its establishment in the 1960s, which contrasts with overall long-term population trends in Europe as well as the regional trend. Whereas importance of nest boxes decreased over recent years, the majority of pairs are occupying tree holes for breeding, which are abundant in the richly structured, open old-growth forest. This forest structure seems to be optimal for the Pied Flycatcher since it allows flying insects to be hunted close to the nest. Finally, we discuss how forest structure and age as well as tree hole and insect availability may determine population trends of the Pied Flycatcher and highlight the importance of long-term studies.",Bird monitoring; citizen science; climate change; food availability; forest structure; habitat conservation; Muscicapidae; nest box; tree hole,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-rp-3-ardeola-702_1682590436.pdf,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/185-200/,,,,,,,,,, English,,,,,,,,,,,,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-rp-3-ardeola-702_1682590436.pdf
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,Nest features and nesting niche segregation in five Iberian steppe passerines,https://doi.org/10.13157/arla.70.2.2023.ra4,Adrián BARRERO; Beatriz CORTÉS CABALLERO; Margarita REVERTE; Julia GÓMEZ-CATASÚS; Daniel BUSTILLO-DE LA ROSA; Julia ZURDO; Cristian PÉREZ-GRANADOS; Juan TRABA,,"The co-occurrence of morphologically similar species may be enabled by differences in resource use that limit the effects of interspecific competition, allowing coexistence. This study aimed to evaluate differences in nest structure and to characterise nesting microhabitats to test for nesting niche segregation among sympatric steppe passerines. From 2016 to 2019, we monitored and characterised the nest structure and nesting habitat of 71 nests from five sympatric passerines in shrub steppes in Central Spain: the Eurasian Skylark Alauda arvensis, the Greater Short-toed lark Calandrella brachydactyla, Dupont’s lark Chersophilus duponti, the Tawny Pipit Anthus campestris and the Western Black-eared Wheatear Oenanthe hispanica. Nest structure was characterised by eight morphometric variables, while principal component analyses (PCA), MANOVA and univariate ANOVA were performed to characterise and evaluate differences in nesting microhabitat between species in both horizontal and vertical dimensions. All species built their nests under short vegetation (",coexistence; nesting microhabitat; nesting site; shrub steppe,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-rp-4-barrero-et-al_1685096377.pdf,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/202-224/,,,,,,,,,, English,,,,,,,,,,,,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-rp-4-barrero-et-al_1685096377.pdf
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,Yellow-legged Gulls from the Mediterranean are not only larger but also allometrically longer-winged than those from the Cantabrian- Atlantic,https://doi.org/10.13157/arla.70.2.2023.ra5,Mª Luisa MARCOS PACHECO; Giacomo TAVECCHIA; José Manuel IGUAL; Carlos ALONSO-ÁLVAREZ; Juan ARIZAGA; Aitor GALARZA; Daniel ORO; Alejandro MARTÍNEZ-ABRAÍN,,"Variability in morphology and body size between populations of the same species is common and can be influenced by environmental conditions or differential migratory strategies. We focused on analysing body size differences between Yellow-legged gulls Larus michahellis from Mediterranean and Cantabrian-Atlantic Iberian colonies as previous studies have suggested that Cantabrian-Atlantic gulls are smaller than Mediterranean gulls. However, those analyses were based on small sample sizes or did not account for sexual dimorphism. Here we analyse an extensive biometric data set (> 1,500 adult individuals), separating males and females, from nine different sites in each region. Our results reveal a 7% (median) difference both between regions and sexes, for most morphometric variables, with Mediterranean gulls having longer legs (tarsi) and heads (cranium-bill) and thicker bills (bill-depth). This inter-regional difference was even larger for body mass, Mediterranean gulls being 11% (males) and 20% (females) heavier than Cantabrian-Atlantic gulls. In particular, we found that individuals from the Mediterranean populations were allometrically longer-winged than their northern counterparts. We suggest, after discarding other factors, that this wing allometry may be related to the sedentariness of the Cantabrian-Atlantic gulls, compared with the partially migratory strategy of Mediterranean gulls. We also suggest that the larger body size of Mediterranean gulls may help them compete better with resident gulls for food acquisition, once they coincide in the Cantabrian-Atlantic region. Finally, females from both populations were also found to be proportionately longerwinged than males. We hypothesise that this difference could allow smaller females to travel longer distances locally in search of food or to make use of different habitat types, avoiding foraging competition with the larger males.",adaptation; allometry; biometry; migration; oceanographic conditions; sexual dimorphism,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-final_1688129359.pdf,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/225-240/,,,,,,,,,, English,,,,,,,,,,,,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-final_1688129359.pdf
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,Stopover ecology of passerine birds on an islet in the Bay of Biscay in autumn reveals a pattern similar to their use of small Mediterranean islands in spring,https://doi.org/10.13157/arla.70.2.2023.ra6,luis BETANZOS-LEJARRAGA; Ioar de GUZMÁN; Raül ESCANDELL; Edorta UNAMUNO; Juan ARIZAGA,,"During migration, landbirds normally need to stop-over in order to rest and/or acquire fuel stores that power their flight. refuelling strategies become particularly evolutionarily relevant when birds must cross broad geographic barriers, where the chance to land and get food is nil, such as when crossing oceans. Our objective was to learn more about the use of the small islands located close to the mainland coast as stopover areas by small migratory birds that cross the Bay of Biscay. Using data collected in a constant-effort mist-netting programme conducted on Izaro Island (northern Spain) during autumn migration (years 2018 to 2021), we aimed to determine (1) which species land on the island and for how long they stay there, and (2) their fuel load and fuel deposition rate. Structurally, the assemblage was dominated by Willow Warblers Phylloscopus trochilus, which on average accounted for 84% of the abundance. Clustering analyses reveal that the assemblage was rather homogeneous across the four study years. Most birds probably stayed on the island for less than 24 hours, with fewer than 5% being recaptured one or more days after their first capture. The first-capture-event body mass of Willow Warblers captured only once (8.0g, 95%CI 7.8-8.4g) did not differ from the initial body mass of those captured two or more times within a season (8.0g, 95% CI 7.0-9.0g), and those stopping over on Izaro had a negative mean fuel deposition rate of –0.2g/day (SE = 0.1g/d). Overall, Izaro was used as an emergency stopover site during the course of this study, where exhausted birds landed after sea-crossings. From a conservation standpoint, and as compared to other stopover sites used as ‘emergency’ stopover sites, results suggest that Izaro is of little value for replenishing the fuel stores of these small birds during autumn migration.",Basque coast; fuel; Izaro; ringing; stopover; Willow Warbler Phylloscopus trochilus.,,https://www.ardeola.org/uploads/articles/docs/rp-6-arizaga-et-al-702_1687854348.pdf,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/241-255/,,,,,,,,,, Spanish,,,,,,,,,,,,,https://www.ardeola.org/uploads/articles/docs/rp-6-arizaga-et-al-702_1687854348.pdf
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,A first assessment of BirdNET performance at varying distances: a playback experiment,https://doi.org/10.13157/arla.70.2.2023.sc1,Cristian PÉREZ-GRANADOS,,"Bird vocalisations, like any other acoustic signals, attenuate over distance, and therefore their structure degrades progressively. Such degradation may have an impact on the ability of automated signal recognition software, to detect and correctly identify bird vocalisations. BirdNET is a recently launched automated bird song recogniser commonly employed by researchers and the public. However, few studies have assessed its performance and our current knowledge about how BirdNET performance may vary over distance or with species is very limited. I aimed to evaluate whether BirdNET's ability to correctly identify bird vocalisations of three bird species varied over distance or according to recorder type and target species using a playback broadcast from 10 to 150m away. BirdNET's ability to correctly identify bird songs varied among species and generally decreased over distance but did not vary among recorder types. Overall BirdNET recall rate, defined as the percentage of vocalisations detected, and correctly identified, by the software, was 59.9% (499 vocalisations correctly identified of 840 vocalisations broadcast). A significantly higher number of vocalisations were correctly identified when broadcast at 50m or closer (mean recall rate of 92.2%), when compared to vocalisations broadcast farther than that distance (mean recall rate of 34.9%). Recall rate was also significantly higher for the Grasshopper Sparrow and the Hooded Warbler, when compared to the Gray Vireo. The number of misclassifications varied over distances and did not follow a linear pattern. This study provides valuable information that may contribute to improved surveys and for expanding the use of BirdNET for surveying bird communities using passive acoustic monitoring.",automated detection; automated software; autonomous recording unit; bird monitoring; bird recognition; convolutional neural network; passive acoustic monitoring,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-sc-1-ardeola-702_1684222206.pdf,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/257-269/,,,,,,,,,, English,,,,,,,,,,,,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-sc-1-ardeola-702_1684222206.pdf
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,"Morphometrics of Houbara Bustards Chlamydotis spp: sexual size dimorphism, seasonal changes and differences between species",https://doi.org/10.13157/arla.70.2.2023.sc2,Juan Carlos ALONSO; Thibault DIEULEVEUT; Carlos PALACÍN; Inmaculada ABRIL-COLÓN; Alberto UCERO; Christelle LUCAS,,"This study presents for the first time morphometric data from large samples of freeliving individuals of Chlamydotis bustards (448 MacQueen’s Bustards, 288 African Houbaras, and 53 Canarian Houbaras). Linear measurements were largest in MacQueen’s Bustards, intermediate in African Houbaras and smallest in Canarian Houbaras, with differences between the largest and smallest species ranging from 4.5% to 13.9%. Male MacQueen’s Bustards were also the heaviest (4% and 15.5% heavier than, respectively, African and Canarian Houbara males) but, unexpectedly, there were no significant weight differences among females of the three bustards. Males of the three bustards were significantly larger than females in all linear measurements and weight. These between-species/subspecies differences are consistent with a slight trend to insular dwarfism that probably selects for smaller size in the Canarian subspecies. Males are larger and heavier than females in the three bustards, as expected in polygynous species, suggesting a moderate effect of sexual selection acting on male size. Finally, the slightly higher sexual size dimorphism values observed in wings and tarsi in MacQueen’s bustards compared to both subspecies of African Houbaras are in line with the allometric constraint hypothesis.",African Houbara Bustard; biometry; Canarian Houbara Bustard; Chlamydotis macqueenii; C. undulata fuertaventurae; C. u. undulata; insular dwarfism; MacQueen’s Bustard,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-appendix-1-sc-2-ardeola_1685098121.pdf,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/271-283/,,,,,,,,,, English,,,,,,,,,,,,,https://www.ardeola.org/uploads/articles/docs/supplementary-electronic-material-appendix-1-sc-2-ardeola_1685098121.pdf
Ardeola,,https://www.ardeola.org/en/volumes/,2023,,Volume 70,2,Book Reviews,https://doi.org/10.13157/arla.70.2.2023.br,José Luis COPETE (editor),,This section reviews books published recently. Most reviews are solicited by the editors from individual contributors but additional reviews are always most welcome. Reviews express the subjective opinions of individual reviewers.,,,,July 2023,,,https://www.ardeola.org/en/volumes/702/articles/285-298/,,,,,,,,,, Spanish,,,,,,,,,,,,,
